"Test ID","Test Name","Business Title","Feature Area","Severity","Status","Start Time","Stop Time","Duration (s)","Browser","Tags","Created At","Updated At","Monitor Status"
"","🔄 CROSS_FLOW_PAYMENT_INSTRUCTIONS_LIFECYCLE: Payment Instructions Lifecycle: Created by Creator, Viewed by Approver, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:33 pm","09 Jun 2026, 04:08:35 pm","2.08 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_DELIVERY_LIFECYCLE: Delivery Lifecycle: Created by Creator, Viewed by Approver, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:33 pm","09 Jun 2026, 04:08:36 pm","2.96 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_SELLER_TAX_LIFECYCLE: Seller Tax Representative Lifecycle: Created by Admin, Viewed by Approver, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:31 pm","09 Jun 2026, 04:08:33 pm","2.63 s","Chromium","","—","—","Normal"
"","API_COMPANY_USER_CREATE_NAGATIVE DATA_SUPER_ADMIN_PERMISSION: SUPER_ADMIN should return 201 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:15 pm","09 Jun 2026, 04:09:16 pm","0.83 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_PARTY_ADDRESS_CONTACT_LIFECYCLE: Party Address and Contact Lifecycle: Created by Admin, Viewed by Creator, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:35 pm","09 Jun 2026, 04:08:38 pm","2.60 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_EXCHANGE_RATE_LIFECYCLE: Exchange Rate Lifecycle: Created by Admin, Viewed by Creator, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:33 pm","09 Jun 2026, 04:08:36 pm","2.05 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_INVOICE_LIFECYCLE: Invoice Lifecycle: Created by Creator, Lines CRUD, Deleted by Admin","","","","❌ Failed","09 Jun 2026, 04:08:35 pm","09 Jun 2026, 04:08:51 pm","15.94 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_TAX_CATEGORY_RATE_LIFECYCLE: Tax Category Rate Lifecycle: Created by Admin, Viewed by Approver, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:34 pm","09 Jun 2026, 04:08:36 pm","2.08 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_INVOICE_TERMS_LIFECYCLE: Invoice Terms Lifecycle: Created by Admin, Viewed by Creator, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:32 pm","09 Jun 2026, 04:08:34 pm","1.62 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_SELLER_LIFECYCLE: Seller Lifecycle: Created by Creator, Viewed by Approver, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:32 pm","09 Jun 2026, 04:08:35 pm","3.07 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_ITEM_LIFECYCLE: Item Information Lifecycle: Created by Creator, Viewed by Approver, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:33 pm","09 Jun 2026, 04:08:36 pm","3.50 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_BUYER_LIFECYCLE: Buyer Lifecycle: Created by Creator, Viewed by Approver, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:32 pm","09 Jun 2026, 04:08:36 pm","3.91 s","Chromium","","—","—","Normal"
"","🔄 CROSS_FLOW_PAYEE_LIFECYCLE: Payee Lifecycle: Created by Creator, Viewed by Approver, Deleted by Admin","","","","✅ Passed","09 Jun 2026, 04:08:32 pm","09 Jun 2026, 04:08:35 pm","2.79 s","Chromium","","—","—","Normal"
"API_AUDIT_SEARCH_001","Smoke: Super Admin can search audit logs","Super Admin can search audit logs","API Api.data.json","Normal","❌ Failed","09 Jun 2026, 04:07:56 pm","09 Jun 2026, 04:07:56 pm","0.55 s","Chromium","api.data.json","2026-06-01","2026-06-01","Normal"
"API_AUTH_COMPANY_001","Login: SkyCargo Admin","SkyCargo Admin","API Auth.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:05 pm","09 Jun 2026, 04:08:05 pm","0.45 s","Chromium","auth.data.json","2026-06-01","2026-06-01","Normal"
"API_AUTH_EDGE_001","Auth: Admin login with wrong password returns 401","Admin login with wrong password returns 401","API Auth.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:05 pm","09 Jun 2026, 04:08:05 pm","0.32 s","Chromium","auth.data.json","2026-06-01","2026-06-01","Normal"
"API_AUTH_EDGE_002","Auth: Admin login with unknown email returns 401","Admin login with unknown email returns 401","API Auth.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:07 pm","09 Jun 2026, 04:08:07 pm","0.20 s","Chromium","auth.data.json","2026-06-01","2026-06-01","Normal"
"API_AUTH_EDGE_003","Auth: Tenant login with non-existent tenant ID returns 404","Tenant login with non-existent tenant ID returns 404","API Auth.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:05 pm","09 Jun 2026, 04:08:05 pm","0.16 s","Chromium","auth.data.json","2026-06-01","2026-06-01","Normal"
"API_AUTH_EDGE_004","Auth: Company login with wrong X-Company-Id header returns 401","Company login with wrong X-Company-Id header returns 401","API Auth.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:05 pm","09 Jun 2026, 04:08:05 pm","0.22 s","Chromium","auth.data.json","2026-06-01","2026-06-01","Normal"
"API_AUTH_EDGE_005","Auth: Company login with missing X-Company-Id header returns 400","Company login with missing X-Company-Id header returns 400","API Auth.data.json","Normal","❌ Failed","09 Jun 2026, 04:08:05 pm","09 Jun 2026, 04:08:05 pm","0.06 s","Chromium","auth.data.json","2026-06-01","2026-06-01","Normal"
"API_AUTH_EDGE_006","Auth: Admin login with empty body returns 400","Admin login with empty body returns 400","API Auth.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:05 pm","09 Jun 2026, 04:08:05 pm","0.12 s","Chromium","auth.data.json","2026-06-01","2026-06-01","Normal"
